Art,Lokal,Metals,Metals_hom,Hg,Hg_hom,SI,SI_hom,PCB,PCB_hom,CIC,CIC_hom,PBDE,PBDE_hom,HBCD,HBCD_hom,PFAS,PFAS_hom,Dioxin,Dioxin_hom,SI_för_dioxin,SI_för_dioxin_hom,PFAS_fiskar,PFAS_fiskar_hom,PAH,PAH_hom,Tinorganic,Tinorganic_hom,CLC,CLC_hom,BFR,BFR_hom
Blåmussla,Kvädofjärden,10,5,10,5,10,5,5,50,5,50,5,50,5,50,,,,,,,,,,75,,,,,,
Blåmussla,Nidingen,15,,15,,15,,5,20,5,20,5,20,5,20,,,,,,,,,,20,,,,,,
Blåmussla,Fjällbacka,15,,15,,15,,5,20,5,20,5,20,5,20,,,,,,,,,,20,,,,,,
Fågelägg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sillgrissla,Stora Karlsö,10,,10,,10,,10,,10,,10,,10,,,10,,10,,,,,,,,,,,,
Fisktärna,Tjärnö,,10,,10,,10,,10,,10,,10,,10,,10,,10,,,,,,,,,,,,
Strandskata,Tjärnö,,10,,10,,10,,10,,10,,10,,10,,10,,10,,,,,,,,,,,,
Aborre,Holmöarna,10,,10,,10,,2,10,2,10,2,10,2,10,2,10,,10,,10,,10,,,,10,,,,
Aborre,Örefjärnedn,2,10,2,10,2,10,2,10,2,10,2,10,2,10,,,,10,,,,,,,,10,,,,
Aborre,Kvädofjärden,10,,10,,10,,10,,10,,10,,10,,2,10,,10,,10,,10,,,,10,,,,
Sill,Rånefjärnen,2,12,2,12,2,12,2,12,2,12,2,12,2,12,2,12,2,12,,,,,,,,,,,,
Strömming,Harufjärden,2,12,2,12,2,12,2,12,2,12,2,12,2,12,2,12,2,12,,,,,,,,,,,,
Strömming,Kinnbäcksfjärden,2,12,2,12,2,12,2,12,2,12,2,12,2,12,2,12,2,12,,,,,,,,,,,,
Strömming,Holmöarna,2,12,2,12,2,12,2,12,2,12,2,12,2,12,2,12,2,12,,,,,,,,,,,,
Strömming,Gaviksfjärden,2,12,2,12,2,12,2,12,2,12,2,12,2,12,2,12,2,12,,,,,,,,,,,,
Strömming,Långvindsfjärnedn,2,12,2,12,2,12,2,12,2,12,2,12,2,12,2,12,2,12,,,,,,,,,,,,
Strömming,Bottenh. Utsjö (51G9),2,12,2,12,2,12,2,12,2,12,2,12,2,12,2,12,2,12,,,,,,,,,,,,
Strömming,Ängskärnsklubb(vår),2,12,2,12,2,12,2,12,2,12,2,12,2,12,2,12,2,12,,,,,,,,,,,,
Strömming,Ängskärnsklubb(höst),2,12,2,12,2,12,2,12,2,12,2,12,2,12,2,12,2,12,,,,,,,,,,,,
